2026-06-25 15:21:05,620 [INFO] ============================================================
2026-06-25 15:21:05,621 [INFO] START sync_software (V_CMDB_Software) -- 2026-06-25 15:21:05.621178
2026-06-25 15:21:05,917 [ERROR] [upsert] Gagal pada SoftwareName=Authenticode - signing and verifying tool: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,917 [ERROR] [upsert] Gagal pada SoftwareName=BCP - SQL bulk copy tool: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,919 [ERROR] [upsert] Gagal pada SoftwareName=BETest Volume Shadow Copy Service (VSS) Backup/Restore Test Tool: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,919 [ERROR] [upsert] Gagal pada SoftwareName=Biometric Enrollment Host: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,920 [ERROR] [upsert] Gagal pada SoftwareName=BMC Client Management: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,921 [ERROR] [upsert] Gagal pada SoftwareName=BMC Client Management: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,922 [ERROR] [upsert] Gagal pada SoftwareName=BMC Client Management Agent: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,922 [ERROR] [upsert] Gagal pada SoftwareName=BMC Client Management Certificate Generator: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,923 [ERROR] [upsert] Gagal pada SoftwareName=BMC Client Management Chilli Interpreter: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,924 [ERROR] [upsert] Gagal pada SoftwareName=BMC Client Management Direct Access Proxy Agent: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,924 [ERROR] [upsert] Gagal pada SoftwareName=BMC Client Management Master: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
